statement,label,original_idx
Grace Hopper invented the COBOL programming language.,1,104
Sir Isaac Newton invented the reflecting telescope.,1,446
Daniel Fahrenheit invented the mercury-in-glass thermometer.,1,738
Leonardo da Vinci invented the various inventions and concepts (theoretical).,1,372
Gordon Gould invented the laser.,1,363
Antoine Lavoisier invented the modern chemical nomenclature.,1,56
Willem Einthoven lived in Netherlands.,1,853
John T. Parsons lived in U.S.,1,541
Daniel Fahrenheit lived in Poland/Germany.,1,829
Ruth Handler invented the Barbie doll.,1,791
Edwin Herbert Hall invented the Hall effect.,1,539
George Washington Carver lived in U.S.,1,109
Ruth Benerito lived in U.S.,1,224
Konrad Zuse invented the programmable computer (Z3).,1,847
Rudolf Diesel lived in Germany.,1,248
Hans Berger invented the electroencephalography (EEG).,1,247
Eugene Polley invented the wireless remote control.,1,486
Édouard-Léon Scott de Martinville lived in France.,1,243
Carl Elsener lived in Switzerland.,1,757
Rudolf Kálmán invented the U.S.,1,526
Walter Hunt invented the safety pin.,1,150
Marvin Camras lived in U.S.,1,264
Gustaf Dalén lived in Sweden.,1,7
Thomas Wedgwood lived in U.K.,1,163
Frederick Walton invented the linoleum.,1,797
Hans Geiger invented the Geiger counter.,1,91
Elisha Otis invented the safety elevator.,1,656
Joseph Glidden lived in U.S.,1,40
Lloyd Groff Copeman lived in U.S.,1,50
Maria Telkes lived in Hungary/U.S.,1,185
Shinya Yamanaka invented the induced pluripotent stem cells.,1,281
Shinya Yamanaka lived in Japan.,1,682
Robert Chesebrough lived in U.S.,1,387
Heinrich Hertz invented the electromagnetic waves discovery.,1,854
Alva J. Fisher invented the electric washing machine.,1,231
William Congreve lived in U.K.,1,374
Otis Boykin invented the improved electrical resistor.,1,763
Charles Wheatstone invented the Wheatstone bridge.,1,0
Ada Lovelace lived in U.K.,1,671
Elihu Thomson lived in U.S.,1,815
Zhores Alferov invented the heterotransistor.,1,165
George Pullman lived in U.S.,1,406
Archimedes invented the Archimedes' screw.,1,280
Sir Humphry Davy lived in U.K.,1,199
Grace Hopper lived in U.S.,1,615
Leonardo da Vinci lived in Italy.,1,429
Gottlieb Daimler lived in Germany.,1,460
Walter Hunt lived in U.S.,1,139
Edwin Link lived in U.S.,1,195
George de Mestral invented the velcro.,1,134
Charles Cros lived in France.,1,309
Ami Argand invented the Argand lamp.,1,301
Florence Parpart lived in U.S.,1,321
George Eastman lived in U.S.,1,418
John Ericsson invented the U.S.,1,474
Frank Julian Sprague invented the electric streetcar system.,1,125
Marie Curie lived in Poland/France.,1,498
Eli Whitney lived in U.S.,1,601
Nils Bohlin invented the three-point seatbelt.,1,98
Hedy Lamarr invented the frequency hopping spread spectrum.,1,511
Edmund Cartwright invented the power loom.,1,64
August Horch lived in Germany.,1,584
Earle Dickson lived in U.S.,1,120
John Harrison lived in U.K.,1,501
Josephine Cochrane invented the automatic dishwasher.,1,36
Guglielmo Marconi invented the radio.,1,197
Narinder Singh Kapany invented the fiber optics.,1,724
Gordon Gould lived in U.S.,1,213
Christopher Cockerell lived in U.K.,1,563
Alexander Graham Bell invented the telephone.,1,119
Stephanie Kwolek lived in U.S.,1,291
Felix Hoffmann invented the aspirin synthesis.,1,755
Guglielmo Marconi lived in Italy.,1,435
Sir Frank Whittle lived in U.K.,1,454
Edwin Link invented the flight simulator (Link Trainer).,1,597
Joseph Bramah invented the hydraulic press.,1,614
Charles Francis Jenkins lived in U.S.,1,663
John Walker lived in U.K.,1,841
George Devol invented the Unimate (first industrial robot).,1,10
Garrett Morgan invented the traffic signal.,1,136
James West invented the electret microphone.,1,783
Jean-Bernard-Léon Foucault invented the Foucault pendulum.,1,447
Heinrich Göbel invented the early incandescent light bulb.,1,176
John Logie Baird lived in Scotland.,1,830
Joseph-Armand Bombardier invented the snowmobile.,1,647
Jean-Bernard-Léon Foucault lived in France.,1,212
William Congreve invented the Congreve rocket.,1,811
Yvonne Brill lived in Canada.,1,142
Hans Lippershey lived in Netherlands.,1,421
Karl Benz invented the gasoline-powered automobile.,1,312
Charles Francis Richter lived in U.S.,1,533
Joseph Swan invented the carbon-filament lamp.,1,180
John Shepherd-Barron invented the ATM.,1,874
Chester Carlson lived in U.S.,1,402
Bartolomeo Cristofori invented the piano.,1,803
Gideon Sundback lived in Sweden/U.S.,1,22
Benjamin Franklin invented the lightning rod.,1,26
Yoshua Bengio invented the deep learning (artificial neural networks).,1,806
Samuel Morse invented the Morse code.,1,514
Henry Bessemer lived in U.K.,1,155
Thomas Savery invented the early steam engine.,1,523
Charles Goodyear lived in U.S.,1,49
John Boyd Dunlop invented the pneumatic bicycle tire.,1,307
Ferdinand von Zeppelin invented the rigid airship (Zeppelin).,1,516
Herbert Akroyd Stuart lived in England.,1,52
James Watt invented the steam engine improvements.,1,31
Florence Parpart invented the modern electric refrigerator.,1,813
Bartolomeo Cristofori lived in Italy.,1,315
James Dyson invented the bagless vacuum cleaner.,1,609
Florence Parpart lived in U.K.,0,263
John Kay invented the electric stove.,0,808
Hans Geiger lived in Austria/U.S.,0,283
Konrad Zuse lived in Poland/France.,0,734
Sir Humphry Davy lived in U.S.,0,786
Blaise Pascal invented the discovery of radium and polonium.,0,740
Nikolay Slavyanov invented the U.S.,0,347
John Logie Baird lived in Japan.,0,375
Carl Sontheimer invented the Argand lamp.,0,101
Spencer Silver invented the Richter scale.,0,823
Ada Lovelace lived in U.S.,0,603
James Hargreaves invented the U.S.,0,536
Michael Faraday invented the friction match.,0,396
Yoshua Bengio lived in U.S.,0,496
Elisha Gray invented the frequency hopping spread spectrum.,0,439
Ruth Benerito invented the Barbie doll.,0,355
John Ericsson invented the celluloid.,0,537
Ernesto Blanco invented the Gatling gun.,0,157
Joseph Bramah invented the vacuum tube diode.,0,785
Charles Townes invented the theremin.,0,450
Ferdinand von Zeppelin lived in France.,0,863
Edwin Link invented the analytical engine (mechanical computer).,0,589
Evangelista Torricelli invented the wireless remote control.,0,551
Zhores Alferov invented the power loom.,0,722
Charles Francis Jenkins invented the gasoline-powered automobile.,0,857
Garrett Morgan invented the adhesive (used in Post-it notes).,0,774
Orville and Wilbur Wright lived in France.,0,411
Robert Adler lived in U.K.,0,438
Linus Torvalds invented the U.S.,0,270
Lester Wire lived in U.K.,0,805
Gideon Sundback invented the electron scanning tube (Image dissector).,0,674
David Schwarz lived in France.,0,138
John Boyd Dunlop invented the refrigeration (absorption process).,0,344
Thomas Tompion invented the electric generator.,0,409
Richard Trevithick lived in U.S.,0,348
John Ambrose Fleming invented the Band-Aid.,0,282
Daniel Fahrenheit invented the piano roll (used in player pianos).,0,202
George Cayley invented the orangutan conservation.,0,174
Mary Walton lived in France.,0,204
Shinya Yamanaka invented the Siemens regenerative furnace.,0,821
Alva J. Fisher invented the integrated circuit.,0,431
Nikolai Basov invented the typewriter.,0,835
Henri Giffard lived in U.S.,0,323
Herbert Saffir invented the electric generator.,0,423
William Kelly invented the phonograph (independent inventor).,0,704
Earle Dickson invented the Vaseline.,0,354
Arthur Pitney invented the friction match.,0,171
Bartolomeo Cristofori invented the geodesic dome.,0,217
Wallace Carothers lived in Denmark.,0,721
Giovanni Caselli lived in U.S.,0,382
Frederick G. Creed invented the AGA lighthouse.,0,452
Thomas Edison lived in U.K.,0,866
Philo Farnsworth lived in Germany.,0,238
Blaise Pascal lived in Poland/France.,0,285
Benjamin Franklin invented the Unimate (first industrial robot).,0,28
George Eastman invented the Wheatstone bridge.,0,160
John von Neumann invented the Google search engine.,0,789
Christopher Cockerell invented the margarine.,0,752
Sir Sandford Fleming lived in U.S.,0,114
Benjamin Rubin invented the telegraph printer.,0,89
Charles Strite invented the various inventions and concepts (theoretical).,0,313
Eli Whitney invented the electric wheelchair.,0,465
James Murray Spangler invented the electromagnet.,0,256
Archimedes invented the electric washing machine.,0,345
Charles Francis Jenkins lived in Germany.,0,686
Levi Strauss invented the laser.,0,651
Johannes Gutenberg invented the bagless vacuum cleaner.,0,572
Gustaf Dalén lived in Germany.,0,598
Mary Anderson invented the cotton gin.,0,483
Hans Oersted lived in U.S.,0,302
William Sturgeon invented the programmable computer (Z3).,0,19
Hans Berger invented the flash freezing.,0,719
Leon Theremin invented the Geiger counter.,0,685
Fritz Pfleumer invented the amplitude modulation (AM) radio.,0,392
Carl Sontheimer lived in Switzerland.,0,151
Arthur Pitney lived in U.K.,0,697
George Pullman invented the electromagnetic field theory.,0,802
Hans Goldschmidt lived in Netherlands.,0,340
William Kelly lived in France.,0,472
Bartolomeo Cristofori lived in U.S.,0,794
Alessandro Volta lived in U.S.,0,631
Edwin Herbert Hall invented the airplane.,0,459
Charles Wheatstone lived in France.,0,44
Clyde Tombaugh invented the electret microphone.,0,548
John von Neumann lived in U.S.,0,710
Thomas Savery invented the bagless vacuum cleaner.,0,632
August Horch invented the electron cooling.,0,298
Yoshua Bengio invented the mechanical refrigeration (ice-making machine).,0,680
Otis Boykin invented the refrigeration (absorption process).,0,193
Ferdinand Carré invented the Post-it notes.,0,852
Herbert Akroyd Stuart lived in Russia.,0,677
Gordon Gould lived in Canada.,0,562
Ruth Handler lived in Netherlands.,0,156
Gordon Gould invented the snowmobile.,0,207
Linus Torvalds lived in Stephanie.,0,875
Herbert Akroyd Stuart invented the Kirlian photography.,0,272
André-Jacques Garnerin invented the electrocardiograph (ECG).,0,394
Philo Farnsworth invented the electroencephalography (EEG).,0,653
László Bíró invented the safety elevator.,0,239
James Clerk Maxwell invented the electric stove.,0,760
Alan Turing invented the power loom.,0,141
Joseph Swan lived in Austrian Empire (modern-day Croatia)/U.S.,0,744
Mary Walton invented the canning process.,0,395
Alexander Graham Bell lived in Germany.,0,527
Felix Hoffmann invented the agricultural innovations.,0,408
Valdemar Poulsen lived in Scotland.,0,500
George de Mestral invented the snowmobile.,0,257
Ignazio Porro invented the modern electric refrigerator.,0,96
Karl Benz lived in U.S.,0,732
Joseph-Armand Bombardier invented the orangutan conservation.,0,737
Frederick McKinley Jones invented the karaoke machine.,0,705
Alec Jeffreys lived in France.,0,380
Frederick G. Creed lived in Sweden.,0,317
Felix Hoffmann lived in U.S.,0,524
Paul Gottlieb Nipkow lived in Denmark.,0,86
Sir Isaac Newton lived in U.S.,0,862
John Callcott Horsley lived in Germany.,0,45
Nikola Tesla invented the electromagnetic waves discovery.,0,107
Giovanni Caselli invented the integrated circuit.,0,192
Ami Argand invented the electric streetcar system.,0,198
Walter Hunt invented the traffic signal.,0,147
Galileo Galilei lived in U.S.,0,626
Rudolf Kálmán invented the penicillin discovery.,0,403
Galileo Galilei invented the assembly line production.,0,433
Gottlieb Daimler invented the airship (non-rigid).,0,144
Philo Taylor Farnsworth invented the mechanical refrigeration (ice-making machine).,0,731
Cai Lun invented the piano.,0,369
Nikolai Basov lived in U.S.,0,200
Orville and Wilbur Wright invented the Jacquard loom.,0,290
Charles Goodyear lived in U.K.,0,827
Tim Berners-Lee invented the movable type printing press.,0,143
Gideon Sundback lived in U.S.,0,222
Marie Curie lived in Hungary.,0,591
Yvonne Brill lived in U.S.,0,819
John Shepherd-Barron lived in U.S.,0,650
Edmund Cartwright invented the Morse code.,0,161
Jack Kilby invented the aerodynamics (theoretical).,0,362
Wallace Carothers invented the magnetic wire recorder.,0,623
Karl Landsteiner lived in U.K.,0,648
Eugene Polley invented the Morse code.,0,709
Ignazio Porro lived in U.S.,0,129
John Boyd Dunlop lived in France.,0,426
Rudolf Kálmán lived in U.K.,0,568
Ernest Swinton lived in U.S.,0,337
Charles Tellier lived in U.K.,0,509
Konrad Zuse invented the discovery of radium and polonium.,0,856
David Schwarz invented the modern chemical nomenclature.,0,194
Charles Babbage invented the stored-program computer architecture.,0,867
James Dyson invented the U.S.,0,658
Charles Macintosh invented the transistor.,0,457
Paul Gottlieb Nipkow invented the electromagnetism discovery.,0,93
Willis Carrier invented the radio.,0,273
Samuel Fox lived in France.,0,613
Ralph Benjamin invented the Porro prism.,0,133
Wilhelm Conrad Röntgen lived in U.S.,0,432
Christopher Cockerell lived in France.,0,711
Arthur Fry invented the Phonautograph.,0,391
Biruté Galdikas invented the pasteurization.,0,792
Marvin Camras lived in France.,0,12
John Atanasoff invented the revolver.,0,637
Hans von Ohain lived in Canada.,0,814
Carlos Glidden lived in Scotland.,0,184
Mary Phelps Jacob invented the practical helicopter.,0,842
Narinder Singh Kapany lived in U.K.,0,287
Bette Nesmith Graham invented the agricultural innovations.,0,575
Heinrich Göbel lived in U.S.,0,495
Nikola Tesla lived in Germany.,0,741
Cai Lun lived in Italy.,0,203
Lester Wire invented the power loom.,0,332
Édouard-Léon Scott de Martinville invented the hovercraft.,0,581
Samuel Colt invented the slide fastener (zipper precursor).,0,118
Hans Lippershey lived in U.S.,0,111
John Harrison invented the steel ribbed umbrella.,0,633
Daniel Fahrenheit lived in U.S.,0,681
Albert Ghiorso invented the Turing machine (theoretical).,0,868
Edouard Benedictus invented the internet protocol suite.,0,234
Zhores Alferov lived in U.K.,0,245
Gottlieb Daimler lived in France.,0,72
Willis Carrier lived in Italy.,0,308
Nils Bohlin invented the jet engine.,0,413
John Wesley Hyatt invented the vacuum tube diode.,0,27
Carl Elsener invented the laser.,0,773
George Antheil invented the Band-Aid.,0,873
James Murray Spangler lived in U.K.,0,252
Charles Babbage lived in Hungary/U.S.,0,703
Robert Moog invented the frequency hopping spread spectrum.,0,85
Igor Tamm lived in U.S.,0,464
George Washington Carver invented the Gatling gun.,0,493
Emile Berliner invented the Kirlian photography.,0,226
Richard Gatling lived in U.K.,0,271
Grace Hopper lived in U.K.,0,444
Jack Kilby lived in U.K.,0,778
László Bíró lived in U.S.,0,250
Hans Geiger invented the frequency hopping spread spectrum.,0,592
Biruté Galdikas lived in France.,0,612
James Watt lived in U.S.,0,190
Karl Benz invented the industrial robot.,0,276
Alessandro Volta invented the assembly line production.,0,861
George de Mestral lived in Canada.,0,769
Igor Sikorsky lived in U.S.,0,196
Sir Sandford Fleming invented the integrated circuit.,0,484
Joseph Aspdin invented the velcro.,0,221
Joseph Marie Jacquard lived in Netherlands.,0,59
Leonardo da Vinci invented the discovery of radium and polonium.,0,574
Yoshiro Nakamatsu invented the pop-up toaster.,0,535
John Walker invented the modern electric refrigerator.,0,437
Christian Huygens lived in Scotland.,0,670
Luther George Simjian lived in Norway.,0,230
James West invented the wrinkle-resistant fabric.,0,162
Ernest Swinton invented the nylon.,0,182
