statement,label,n1,n2,diff,abs_diff
Fifty-two is larger than fifty-five.,0,52,55,-3,3
Fifty-two is larger than fifty-six.,0,52,56,-4,4
Fifty-two is larger than fifty-seven.,0,52,57,-5,5
Fifty-two is larger than fifty-eight.,0,52,58,-6,6
Fifty-two is larger than fifty-nine.,0,52,59,-7,7
Fifty-two is larger than sixty-one.,0,52,61,-9,9
Fifty-two is larger than sixty-two.,0,52,62,-10,10
Fifty-two is larger than sixty-three.,0,52,63,-11,11
Fifty-two is larger than sixty-four.,0,52,64,-12,12
Fifty-two is larger than sixty-five.,0,52,65,-13,13
Fifty-two is larger than sixty-six.,0,52,66,-14,14
Fifty-two is larger than sixty-seven.,0,52,67,-15,15
Fifty-two is larger than sixty-eight.,0,52,68,-16,16
Fifty-two is larger than sixty-nine.,0,52,69,-17,17
Fifty-two is larger than seventy-one.,0,52,71,-19,19
Fifty-two is larger than seventy-two.,0,52,72,-20,20
Fifty-two is larger than seventy-three.,0,52,73,-21,21
Fifty-two is larger than seventy-four.,0,52,74,-22,22
Fifty-two is larger than seventy-five.,0,52,75,-23,23
Fifty-two is larger than seventy-six.,0,52,76,-24,24
Fifty-two is larger than seventy-seven.,0,52,77,-25,25
Fifty-two is larger than seventy-eight.,0,52,78,-26,26
Fifty-two is larger than seventy-nine.,0,52,79,-27,27
Fifty-two is larger than eighty-one.,0,52,81,-29,29
Fifty-two is larger than eighty-two.,0,52,82,-30,30
Fifty-two is larger than eighty-three.,0,52,83,-31,31
Fifty-two is larger than eighty-four.,0,52,84,-32,32
Fifty-two is larger than eighty-five.,0,52,85,-33,33
Fifty-two is larger than eighty-six.,0,52,86,-34,34
Fifty-two is larger than eighty-seven.,0,52,87,-35,35
Fifty-two is larger than eighty-eight.,0,52,88,-36,36
Fifty-two is larger than eighty-nine.,0,52,89,-37,37
Fifty-two is larger than ninety-one.,0,52,91,-39,39
Fifty-two is larger than ninety-two.,0,52,92,-40,40
Fifty-two is larger than ninety-three.,0,52,93,-41,41
Fifty-two is larger than ninety-four.,0,52,94,-42,42
Fifty-two is larger than ninety-five.,0,52,95,-43,43
Fifty-two is larger than ninety-six.,0,52,96,-44,44
Fifty-two is larger than ninety-seven.,0,52,97,-45,45
Fifty-two is larger than ninety-eight.,0,52,98,-46,46
Fifty-two is larger than ninety-nine.,0,52,99,-47,47
Fifty-three is larger than fifty-one.,1,53,51,2,2
Fifty-three is larger than fifty-two.,1,53,52,1,1
Fifty-three is larger than fifty-four.,0,53,54,-1,1
Fifty-three is larger than fifty-five.,0,53,55,-2,2
Fifty-three is larger than fifty-six.,0,53,56,-3,3
Fifty-three is larger than fifty-seven.,0,53,57,-4,4
Fifty-three is larger than fifty-eight.,0,53,58,-5,5
Fifty-three is larger than fifty-nine.,0,53,59,-6,6
Fifty-three is larger than sixty-one.,0,53,61,-8,8
Fifty-three is larger than sixty-two.,0,53,62,-9,9
Fifty-three is larger than sixty-three.,0,53,63,-10,10
Fifty-three is larger than sixty-four.,0,53,64,-11,11
Fifty-three is larger than sixty-five.,0,53,65,-12,12
Fifty-three is larger than sixty-six.,0,53,66,-13,13
Fifty-three is larger than sixty-seven.,0,53,67,-14,14
Fifty-three is larger than sixty-eight.,0,53,68,-15,15
Fifty-three is larger than sixty-nine.,0,53,69,-16,16
Fifty-three is larger than seventy-one.,0,53,71,-18,18
Fifty-three is larger than seventy-two.,0,53,72,-19,19
Fifty-three is larger than seventy-three.,0,53,73,-20,20
Fifty-three is larger than seventy-four.,0,53,74,-21,21
Fifty-three is larger than seventy-five.,0,53,75,-22,22
Fifty-three is larger than seventy-six.,0,53,76,-23,23
Fifty-three is larger than seventy-seven.,0,53,77,-24,24
Fifty-three is larger than seventy-eight.,0,53,78,-25,25
Fifty-three is larger than seventy-nine.,0,53,79,-26,26
Fifty-three is larger than eighty-one.,0,53,81,-28,28
Fifty-three is larger than eighty-two.,0,53,82,-29,29
Fifty-three is larger than eighty-three.,0,53,83,-30,30
Fifty-three is larger than eighty-four.,0,53,84,-31,31
Fifty-three is larger than eighty-five.,0,53,85,-32,32
Fifty-three is larger than eighty-six.,0,53,86,-33,33
Fifty-three is larger than eighty-seven.,0,53,87,-34,34
Fifty-three is larger than eighty-eight.,0,53,88,-35,35
Fifty-three is larger than eighty-nine.,0,53,89,-36,36
Fifty-three is larger than ninety-one.,0,53,91,-38,38
Fifty-three is larger than ninety-two.,0,53,92,-39,39
Fifty-three is larger than ninety-three.,0,53,93,-40,40
Fifty-three is larger than ninety-four.,0,53,94,-41,41
Fifty-three is larger than ninety-five.,0,53,95,-42,42
Fifty-three is larger than ninety-six.,0,53,96,-43,43
Fifty-three is larger than ninety-seven.,0,53,97,-44,44
Fifty-three is larger than ninety-eight.,0,53,98,-45,45
Fifty-three is larger than ninety-nine.,0,53,99,-46,46
Fifty-four is larger than fifty-one.,1,54,51,3,3
Fifty-four is larger than fifty-two.,1,54,52,2,2
Fifty-four is larger than fifty-three.,1,54,53,1,1
Fifty-four is larger than fifty-five.,0,54,55,-1,1
Fifty-four is larger than fifty-six.,0,54,56,-2,2
Fifty-four is larger than fifty-seven.,0,54,57,-3,3
Fifty-four is larger than fifty-eight.,0,54,58,-4,4
Fifty-four is larger than fifty-nine.,0,54,59,-5,5
Fifty-four is larger than sixty-one.,0,54,61,-7,7
Fifty-four is larger than sixty-two.,0,54,62,-8,8
Fifty-four is larger than sixty-three.,0,54,63,-9,9
Fifty-four is larger than sixty-four.,0,54,64,-10,10
Fifty-four is larger than sixty-five.,0,54,65,-11,11
Fifty-four is larger than sixty-six.,0,54,66,-12,12
Fifty-four is larger than sixty-seven.,0,54,67,-13,13
Fifty-four is larger than sixty-eight.,0,54,68,-14,14
Fifty-four is larger than sixty-nine.,0,54,69,-15,15
Fifty-four is larger than seventy-one.,0,54,71,-17,17
Fifty-four is larger than seventy-two.,0,54,72,-18,18
Fifty-four is larger than seventy-three.,0,54,73,-19,19
Fifty-four is larger than seventy-four.,0,54,74,-20,20
Fifty-four is larger than seventy-five.,0,54,75,-21,21
Fifty-four is larger than seventy-six.,0,54,76,-22,22
Fifty-four is larger than seventy-seven.,0,54,77,-23,23
Fifty-four is larger than seventy-eight.,0,54,78,-24,24
Fifty-four is larger than seventy-nine.,0,54,79,-25,25
Fifty-four is larger than eighty-one.,0,54,81,-27,27
Fifty-four is larger than eighty-two.,0,54,82,-28,28
Fifty-four is larger than eighty-three.,0,54,83,-29,29
Fifty-four is larger than eighty-four.,0,54,84,-30,30
Fifty-four is larger than eighty-five.,0,54,85,-31,31
Fifty-four is larger than eighty-six.,0,54,86,-32,32
Fifty-four is larger than eighty-seven.,0,54,87,-33,33
Fifty-four is larger than eighty-eight.,0,54,88,-34,34
Fifty-four is larger than eighty-nine.,0,54,89,-35,35
Fifty-four is larger than ninety-one.,0,54,91,-37,37
Fifty-four is larger than ninety-two.,0,54,92,-38,38
Fifty-four is larger than ninety-three.,0,54,93,-39,39
Fifty-four is larger than ninety-four.,0,54,94,-40,40
Fifty-four is larger than ninety-five.,0,54,95,-41,41
Fifty-four is larger than ninety-six.,0,54,96,-42,42
Fifty-four is larger than ninety-seven.,0,54,97,-43,43
Fifty-four is larger than ninety-eight.,0,54,98,-44,44
Fifty-four is larger than ninety-nine.,0,54,99,-45,45
Fifty-five is larger than fifty-one.,1,55,51,4,4
Fifty-five is larger than fifty-two.,1,55,52,3,3
Fifty-five is larger than fifty-three.,1,55,53,2,2
Fifty-five is larger than fifty-four.,1,55,54,1,1
Fifty-five is larger than fifty-six.,0,55,56,-1,1
Fifty-five is larger than fifty-seven.,0,55,57,-2,2
Fifty-five is larger than fifty-eight.,0,55,58,-3,3
Fifty-five is larger than fifty-nine.,0,55,59,-4,4
Fifty-five is larger than sixty-one.,0,55,61,-6,6
Fifty-five is larger than sixty-two.,0,55,62,-7,7
Fifty-five is larger than sixty-three.,0,55,63,-8,8
Fifty-five is larger than sixty-four.,0,55,64,-9,9
Fifty-five is larger than sixty-five.,0,55,65,-10,10
Fifty-five is larger than sixty-six.,0,55,66,-11,11
Fifty-five is larger than sixty-seven.,0,55,67,-12,12
Fifty-five is larger than sixty-eight.,0,55,68,-13,13
Fifty-five is larger than sixty-nine.,0,55,69,-14,14
Fifty-five is larger than seventy-one.,0,55,71,-16,16
Fifty-five is larger than seventy-two.,0,55,72,-17,17
Fifty-five is larger than seventy-three.,0,55,73,-18,18
Fifty-five is larger than seventy-four.,0,55,74,-19,19
Fifty-five is larger than seventy-five.,0,55,75,-20,20
Sixty-one is larger than fifty-three.,1,61,53,8,8
Sixty-one is larger than fifty-four.,1,61,54,7,7
Sixty-one is larger than fifty-five.,1,61,55,6,6
Sixty-one is larger than fifty-six.,1,61,56,5,5
Sixty-one is larger than fifty-seven.,1,61,57,4,4
Sixty-one is larger than fifty-eight.,1,61,58,3,3
Sixty-one is larger than fifty-nine.,1,61,59,2,2
Sixty-one is larger than sixty-two.,0,61,62,-1,1
Sixty-one is larger than sixty-three.,0,61,63,-2,2
Sixty-one is larger than sixty-four.,0,61,64,-3,3
Sixty-one is larger than sixty-five.,0,61,65,-4,4
Sixty-one is larger than sixty-six.,0,61,66,-5,5
Sixty-one is larger than sixty-seven.,0,61,67,-6,6
Sixty-one is larger than sixty-eight.,0,61,68,-7,7
Sixty-one is larger than sixty-nine.,0,61,69,-8,8
Sixty-one is larger than seventy-one.,0,61,71,-10,10
Sixty-one is larger than seventy-two.,0,61,72,-11,11
Sixty-one is larger than seventy-three.,0,61,73,-12,12
Sixty-one is larger than seventy-four.,0,61,74,-13,13
Sixty-one is larger than seventy-five.,0,61,75,-14,14
Sixty-one is larger than seventy-six.,0,61,76,-15,15
Sixty-one is larger than seventy-seven.,0,61,77,-16,16
Sixty-one is larger than seventy-eight.,0,61,78,-17,17
Sixty-one is larger than seventy-nine.,0,61,79,-18,18
Sixty-one is larger than eighty-one.,0,61,81,-20,20
Sixty-one is larger than eighty-two.,0,61,82,-21,21
Sixty-one is larger than eighty-three.,0,61,83,-22,22
Sixty-one is larger than eighty-four.,0,61,84,-23,23
Sixty-one is larger than eighty-five.,0,61,85,-24,24
Sixty-one is larger than eighty-six.,0,61,86,-25,25
Sixty-one is larger than eighty-seven.,0,61,87,-26,26
Sixty-one is larger than eighty-eight.,0,61,88,-27,27
Sixty-one is larger than eighty-nine.,0,61,89,-28,28
Sixty-one is larger than ninety-one.,0,61,91,-30,30
Sixty-one is larger than ninety-two.,0,61,92,-31,31
Sixty-one is larger than ninety-three.,0,61,93,-32,32
Sixty-one is larger than ninety-four.,0,61,94,-33,33
Sixty-one is larger than ninety-five.,0,61,95,-34,34
Sixty-one is larger than ninety-six.,0,61,96,-35,35
Sixty-one is larger than ninety-seven.,0,61,97,-36,36
Sixty-one is larger than ninety-eight.,0,61,98,-37,37
Sixty-one is larger than ninety-nine.,0,61,99,-38,38
Sixty-two is larger than fifty-one.,1,62,51,11,11
Sixty-two is larger than fifty-two.,1,62,52,10,10
Sixty-two is larger than fifty-three.,1,62,53,9,9
Sixty-two is larger than fifty-four.,1,62,54,8,8
Sixty-two is larger than fifty-five.,1,62,55,7,7
Sixty-two is larger than fifty-six.,1,62,56,6,6
Sixty-two is larger than fifty-seven.,1,62,57,5,5
Sixty-two is larger than fifty-eight.,1,62,58,4,4
Sixty-two is larger than fifty-nine.,1,62,59,3,3
Sixty-two is larger than sixty-one.,1,62,61,1,1
Sixty-two is larger than sixty-three.,0,62,63,-1,1
Sixty-two is larger than sixty-four.,0,62,64,-2,2
Sixty-two is larger than sixty-five.,0,62,65,-3,3
Sixty-two is larger than sixty-six.,0,62,66,-4,4
Sixty-two is larger than sixty-seven.,0,62,67,-5,5
Sixty-two is larger than sixty-eight.,0,62,68,-6,6
Sixty-two is larger than sixty-nine.,0,62,69,-7,7
Sixty-two is larger than seventy-one.,0,62,71,-9,9
Sixty-two is larger than seventy-two.,0,62,72,-10,10
Sixty-two is larger than seventy-three.,0,62,73,-11,11
Sixty-two is larger than seventy-four.,0,62,74,-12,12
Sixty-two is larger than seventy-five.,0,62,75,-13,13
Sixty-two is larger than seventy-six.,0,62,76,-14,14
Sixty-two is larger than seventy-seven.,0,62,77,-15,15
Sixty-two is larger than seventy-eight.,0,62,78,-16,16
Sixty-two is larger than seventy-nine.,0,62,79,-17,17
Sixty-two is larger than eighty-one.,0,62,81,-19,19
Sixty-two is larger than eighty-two.,0,62,82,-20,20
Sixty-two is larger than eighty-three.,0,62,83,-21,21
Sixty-two is larger than eighty-four.,0,62,84,-22,22
Sixty-two is larger than eighty-five.,0,62,85,-23,23
Sixty-two is larger than eighty-six.,0,62,86,-24,24
Sixty-two is larger than eighty-seven.,0,62,87,-25,25
Sixty-two is larger than eighty-eight.,0,62,88,-26,26
Sixty-two is larger than eighty-nine.,0,62,89,-27,27
Sixty-two is larger than ninety-one.,0,62,91,-29,29
Sixty-two is larger than ninety-two.,0,62,92,-30,30
Sixty-two is larger than ninety-three.,0,62,93,-31,31
Sixty-two is larger than ninety-four.,0,62,94,-32,32
Sixty-two is larger than ninety-five.,0,62,95,-33,33
Sixty-two is larger than ninety-six.,0,62,96,-34,34
Sixty-two is larger than ninety-seven.,0,62,97,-35,35
Sixty-two is larger than ninety-eight.,0,62,98,-36,36
Sixty-two is larger than ninety-nine.,0,62,99,-37,37
Sixty-three is larger than fifty-one.,1,63,51,12,12
Sixty-three is larger than fifty-two.,1,63,52,11,11
Sixty-three is larger than fifty-three.,1,63,53,10,10
Sixty-three is larger than fifty-four.,1,63,54,9,9
Sixty-three is larger than fifty-five.,1,63,55,8,8
Sixty-three is larger than fifty-six.,1,63,56,7,7
Sixty-three is larger than fifty-seven.,1,63,57,6,6
Sixty-three is larger than fifty-eight.,1,63,58,5,5
Sixty-three is larger than fifty-nine.,1,63,59,4,4
Sixty-three is larger than sixty-one.,1,63,61,2,2
Sixty-three is larger than sixty-two.,1,63,62,1,1
Sixty-three is larger than sixty-four.,0,63,64,-1,1
Sixty-three is larger than sixty-five.,0,63,65,-2,2
Sixty-three is larger than sixty-six.,0,63,66,-3,3
Sixty-three is larger than sixty-seven.,0,63,67,-4,4
Sixty-three is larger than sixty-eight.,0,63,68,-5,5
Sixty-three is larger than sixty-nine.,0,63,69,-6,6
Sixty-three is larger than seventy-one.,0,63,71,-8,8
Sixty-three is larger than seventy-two.,0,63,72,-9,9
Sixty-three is larger than seventy-three.,0,63,73,-10,10
Sixty-three is larger than seventy-four.,0,63,74,-11,11
Sixty-three is larger than seventy-five.,0,63,75,-12,12
Sixty-three is larger than seventy-six.,0,63,76,-13,13
Sixty-three is larger than seventy-seven.,0,63,77,-14,14
Sixty-three is larger than seventy-eight.,0,63,78,-15,15
Sixty-three is larger than seventy-nine.,0,63,79,-16,16
Sixty-three is larger than eighty-one.,0,63,81,-18,18
Sixty-three is larger than eighty-two.,0,63,82,-19,19
Sixty-three is larger than eighty-three.,0,63,83,-20,20
Sixty-three is larger than eighty-four.,0,63,84,-21,21
Sixty-three is larger than eighty-five.,0,63,85,-22,22
Sixty-three is larger than eighty-six.,0,63,86,-23,23
Sixty-three is larger than eighty-seven.,0,63,87,-24,24
Sixty-three is larger than eighty-eight.,0,63,88,-25,25
Sixty-three is larger than eighty-nine.,0,63,89,-26,26
Sixty-three is larger than ninety-one.,0,63,91,-28,28
Sixty-three is larger than ninety-two.,0,63,92,-29,29
Sixty-three is larger than ninety-three.,0,63,93,-30,30
Sixty-three is larger than ninety-four.,0,63,94,-31,31
Sixty-three is larger than ninety-five.,0,63,95,-32,32
Sixty-three is larger than ninety-six.,0,63,96,-33,33
Sixty-three is larger than ninety-seven.,0,63,97,-34,34
Sixty-three is larger than ninety-eight.,0,63,98,-35,35
Sixty-three is larger than ninety-nine.,0,63,99,-36,36
Sixty-four is larger than fifty-one.,1,64,51,13,13
Sixty-four is larger than fifty-two.,1,64,52,12,12
Sixty-four is larger than fifty-three.,1,64,53,11,11
Sixty-four is larger than fifty-four.,1,64,54,10,10
Sixty-four is larger than fifty-five.,1,64,55,9,9
Sixty-four is larger than fifty-six.,1,64,56,8,8
Sixty-four is larger than fifty-seven.,1,64,57,7,7
Sixty-four is larger than fifty-eight.,1,64,58,6,6
Sixty-four is larger than fifty-nine.,1,64,59,5,5
Sixty-four is larger than sixty-one.,1,64,61,3,3
Sixty-four is larger than sixty-two.,1,64,62,2,2
Sixty-four is larger than sixty-three.,1,64,63,1,1
Sixty-four is larger than sixty-five.,0,64,65,-1,1
Sixty-four is larger than sixty-six.,0,64,66,-2,2
Sixty-four is larger than sixty-seven.,0,64,67,-3,3
Sixty-four is larger than sixty-eight.,0,64,68,-4,4
Sixty-four is larger than sixty-nine.,0,64,69,-5,5
Sixty-four is larger than seventy-one.,0,64,71,-7,7
Sixty-four is larger than seventy-two.,0,64,72,-8,8
Sixty-four is larger than seventy-three.,0,64,73,-9,9
Sixty-four is larger than seventy-four.,0,64,74,-10,10
Sixty-four is larger than seventy-five.,0,64,75,-11,11
Sixty-four is larger than seventy-six.,0,64,76,-12,12
Sixty-four is larger than seventy-seven.,0,64,77,-13,13
Sixty-four is larger than seventy-eight.,0,64,78,-14,14
Sixty-four is larger than seventy-nine.,0,64,79,-15,15
Sixty-four is larger than eighty-one.,0,64,81,-17,17
Sixty-four is larger than eighty-two.,0,64,82,-18,18
Sixty-four is larger than eighty-three.,0,64,83,-19,19
Sixty-four is larger than eighty-four.,0,64,84,-20,20
Sixty-four is larger than eighty-five.,0,64,85,-21,21
Sixty-four is larger than eighty-six.,0,64,86,-22,22
Sixty-four is larger than eighty-seven.,0,64,87,-23,23
Sixty-four is larger than eighty-eight.,0,64,88,-24,24
Sixty-four is larger than eighty-nine.,0,64,89,-25,25
Sixty-four is larger than ninety-one.,0,64,91,-27,27
Sixty-four is larger than ninety-two.,0,64,92,-28,28
Sixty-four is larger than ninety-three.,0,64,93,-29,29
Sixty-four is larger than ninety-four.,0,64,94,-30,30
Sixty-four is larger than ninety-five.,0,64,95,-31,31
Sixty-four is larger than ninety-six.,0,64,96,-32,32
Sixty-four is larger than ninety-seven.,0,64,97,-33,33
Sixty-four is larger than ninety-eight.,0,64,98,-34,34
Sixty-four is larger than ninety-nine.,0,64,99,-35,35
Sixty-five is larger than fifty-one.,1,65,51,14,14
Sixty-five is larger than fifty-two.,1,65,52,13,13
Sixty-five is larger than fifty-three.,1,65,53,12,12
Sixty-five is larger than fifty-four.,1,65,54,11,11
Sixty-five is larger than fifty-five.,1,65,55,10,10
Sixty-five is larger than fifty-six.,1,65,56,9,9
Sixty-five is larger than fifty-seven.,1,65,57,8,8
Sixty-five is larger than fifty-eight.,1,65,58,7,7
Sixty-five is larger than fifty-nine.,1,65,59,6,6
Sixty-five is larger than sixty-one.,1,65,61,4,4
Sixty-five is larger than sixty-two.,1,65,62,3,3
Sixty-five is larger than sixty-three.,1,65,63,2,2
Sixty-five is larger than sixty-four.,1,65,64,1,1
Sixty-five is larger than sixty-six.,0,65,66,-1,1
Sixty-five is larger than sixty-seven.,0,65,67,-2,2
Sixty-five is larger than sixty-eight.,0,65,68,-3,3
Sixty-five is larger than sixty-nine.,0,65,69,-4,4
Sixty-five is larger than seventy-one.,0,65,71,-6,6
Sixty-five is larger than seventy-two.,0,65,72,-7,7
Sixty-five is larger than seventy-three.,0,65,73,-8,8
Sixty-five is larger than seventy-four.,0,65,74,-9,9
Sixty-five is larger than seventy-five.,0,65,75,-10,10
Sixty-five is larger than seventy-six.,0,65,76,-11,11
Sixty-five is larger than seventy-seven.,0,65,77,-12,12
Sixty-five is larger than seventy-eight.,0,65,78,-13,13
Sixty-five is larger than seventy-nine.,0,65,79,-14,14
Seventy-one is larger than fifty-seven.,1,71,57,14,14
Seventy-one is larger than fifty-eight.,1,71,58,13,13
Seventy-one is larger than fifty-nine.,1,71,59,12,12
Seventy-one is larger than sixty-one.,1,71,61,10,10
Seventy-one is larger than sixty-two.,1,71,62,9,9
Seventy-one is larger than sixty-three.,1,71,63,8,8
Seventy-one is larger than sixty-four.,1,71,64,7,7
Seventy-one is larger than sixty-five.,1,71,65,6,6
Seventy-one is larger than sixty-six.,1,71,66,5,5
Seventy-one is larger than sixty-seven.,1,71,67,4,4
Seventy-one is larger than sixty-eight.,1,71,68,3,3
Seventy-one is larger than sixty-nine.,1,71,69,2,2
Seventy-one is larger than seventy-two.,0,71,72,-1,1
Seventy-one is larger than seventy-three.,0,71,73,-2,2
Seventy-one is larger than seventy-four.,0,71,74,-3,3
Seventy-one is larger than seventy-five.,0,71,75,-4,4
Seventy-one is larger than seventy-six.,0,71,76,-5,5
Seventy-one is larger than seventy-seven.,0,71,77,-6,6
Seventy-one is larger than seventy-eight.,0,71,78,-7,7
Seventy-one is larger than seventy-nine.,0,71,79,-8,8
Seventy-one is larger than eighty-one.,0,71,81,-10,10
Seventy-one is larger than eighty-two.,0,71,82,-11,11
Seventy-one is larger than eighty-three.,0,71,83,-12,12
Seventy-one is larger than eighty-four.,0,71,84,-13,13
Seventy-one is larger than eighty-five.,0,71,85,-14,14
Seventy-one is larger than eighty-six.,0,71,86,-15,15
Seventy-one is larger than eighty-seven.,0,71,87,-16,16
Seventy-one is larger than eighty-eight.,0,71,88,-17,17
Seventy-one is larger than eighty-nine.,0,71,89,-18,18
Seventy-one is larger than ninety-one.,0,71,91,-20,20
Seventy-one is larger than ninety-two.,0,71,92,-21,21
Seventy-one is larger than ninety-three.,0,71,93,-22,22
Seventy-one is larger than ninety-four.,0,71,94,-23,23
Seventy-one is larger than ninety-five.,0,71,95,-24,24
Seventy-one is larger than ninety-six.,0,71,96,-25,25
Seventy-one is larger than ninety-seven.,0,71,97,-26,26
Seventy-one is larger than ninety-eight.,0,71,98,-27,27
Seventy-one is larger than ninety-nine.,0,71,99,-28,28
Seventy-two is larger than fifty-one.,1,72,51,21,21
Seventy-two is larger than fifty-two.,1,72,52,20,20
Seventy-two is larger than fifty-three.,1,72,53,19,19
Seventy-two is larger than fifty-four.,1,72,54,18,18
Seventy-two is larger than fifty-five.,1,72,55,17,17
Seventy-two is larger than fifty-six.,1,72,56,16,16
Seventy-two is larger than fifty-seven.,1,72,57,15,15
Seventy-two is larger than fifty-eight.,1,72,58,14,14
Seventy-two is larger than fifty-nine.,1,72,59,13,13
Seventy-two is larger than sixty-one.,1,72,61,11,11
Seventy-two is larger than sixty-two.,1,72,62,10,10
Seventy-two is larger than sixty-three.,1,72,63,9,9
Seventy-two is larger than sixty-four.,1,72,64,8,8
Seventy-two is larger than sixty-five.,1,72,65,7,7
Seventy-two is larger than sixty-six.,1,72,66,6,6
Seventy-two is larger than sixty-seven.,1,72,67,5,5
Seventy-two is larger than sixty-eight.,1,72,68,4,4
Seventy-two is larger than sixty-nine.,1,72,69,3,3
Seventy-two is larger than seventy-one.,1,72,71,1,1
Seventy-two is larger than seventy-three.,0,72,73,-1,1
Seventy-two is larger than seventy-four.,0,72,74,-2,2
Seventy-two is larger than seventy-five.,0,72,75,-3,3
Seventy-two is larger than seventy-six.,0,72,76,-4,4
Seventy-two is larger than seventy-seven.,0,72,77,-5,5
Seventy-two is larger than seventy-eight.,0,72,78,-6,6
Seventy-two is larger than seventy-nine.,0,72,79,-7,7
Seventy-two is larger than eighty-one.,0,72,81,-9,9
Seventy-two is larger than eighty-two.,0,72,82,-10,10
Seventy-two is larger than eighty-three.,0,72,83,-11,11
Seventy-two is larger than eighty-four.,0,72,84,-12,12
Seventy-two is larger than eighty-five.,0,72,85,-13,13
Seventy-two is larger than eighty-six.,0,72,86,-14,14
Seventy-two is larger than eighty-seven.,0,72,87,-15,15
Seventy-two is larger than eighty-eight.,0,72,88,-16,16
Seventy-two is larger than eighty-nine.,0,72,89,-17,17
Seventy-two is larger than ninety-one.,0,72,91,-19,19
Seventy-two is larger than ninety-two.,0,72,92,-20,20
Seventy-two is larger than ninety-three.,0,72,93,-21,21
Seventy-two is larger than ninety-four.,0,72,94,-22,22
Seventy-two is larger than ninety-five.,0,72,95,-23,23
Seventy-two is larger than ninety-six.,0,72,96,-24,24
Seventy-two is larger than ninety-seven.,0,72,97,-25,25
Seventy-two is larger than ninety-eight.,0,72,98,-26,26
Seventy-two is larger than ninety-nine.,0,72,99,-27,27
Seventy-three is larger than fifty-one.,1,73,51,22,22
Seventy-three is larger than fifty-two.,1,73,52,21,21
Seventy-three is larger than fifty-three.,1,73,53,20,20
Seventy-three is larger than fifty-four.,1,73,54,19,19
Seventy-three is larger than fifty-five.,1,73,55,18,18
Seventy-three is larger than fifty-six.,1,73,56,17,17
Seventy-three is larger than fifty-seven.,1,73,57,16,16
Seventy-three is larger than fifty-eight.,1,73,58,15,15
Seventy-three is larger than fifty-nine.,1,73,59,14,14
Seventy-three is larger than sixty-one.,1,73,61,12,12
Seventy-three is larger than sixty-two.,1,73,62,11,11
Seventy-three is larger than sixty-three.,1,73,63,10,10
Seventy-three is larger than sixty-four.,1,73,64,9,9
Seventy-three is larger than sixty-five.,1,73,65,8,8
Seventy-three is larger than sixty-six.,1,73,66,7,7
Seventy-three is larger than sixty-seven.,1,73,67,6,6
