,statement,label
351,Sir Isaac Newton lived in U.K.,1
569,Reginald Fessenden invented the amplitude modulation (AM) radio.,1
370,George de Mestral lived in Switzerland.,1
641,Charles Townes lived in U.S.,1
456,John Ambrose Fleming lived in U.K.,1
809,Thomas Wedgwood invented the photogram (proto-photography).,1
528,Robert Noyce lived in U.S.,1
606,Elihu Thomson invented the arc welding.,1
1,Alfred Nobel invented the dynamite.,1
675,Hans Geiger lived in Germany.,1
739,Stephanie Kwolek invented the Kevlar.,1
796,Felix Hoffmann lived in Germany.,1
67,Charles Fritts lived in U.S.,1
232,Thomas Edison invented the light bulb.,1
410,John Bardeen lived in U.S.,1
166,Benjamin Holt lived in U.S.,1
583,James Starley lived in U.K.,1
601,Eli Whitney lived in U.S.,1
588,Henri Giffard invented the airship (non-rigid).,1
53,Rudolf Diesel invented the diesel engine.,1
541,John T. Parsons lived in U.S.,1
233,Ralph H. Baer lived in U.S.,1
427,Heinrich Hertz lived in Germany.,1
815,Elihu Thomson lived in U.S.,1
706,Hans von Ohain lived in Germany.,1
694,Konrad Zuse lived in Germany.,1
848,Blaise Pascal lived in France.,1
212,Jean-Bernard-Léon Foucault lived in France.,1
838,Richard Trevithick lived in U.K.,1
584,August Horch lived in Germany.,1
750,Hans Goldschmidt lived in Germany.,1
746,James Murray Spangler lived in U.S.,1
277,Joseph Bramah lived in U.K.,1
293,Johannes Gutenberg invented the movable type printing press.,1
442,Robert Noyce invented the integrated circuit.,1
134,George de Mestral invented the velcro.,1
23,John Shepherd-Barron lived in Scotland.,1
683,Charles Tellier invented the liquefied gas refrigeration.,1
164,Frank Bunker Gilbreth lived in U.S.,1
596,Alec Jeffreys invented the DNA fingerprinting.,1
131,John Wesley Hyatt lived in U.S.,1
514,Samuel Morse invented the Morse code.,1
429,Leonardo da Vinci lived in Italy.,1
78,James Hargreaves invented the spinning jenny.,1
98,Nils Bohlin invented the three-point seatbelt.,1
281,Shinya Yamanaka invented the induced pluripotent stem cells.,1
346,Frederick G. Creed invented the teleprinter.,1
764,John Ambrose Fleming invented the vacuum tube diode.,1
52,Herbert Akroyd Stuart lived in England.,1
630,Levi Strauss lived in U.S.,1
241,Alan Turing lived in U.K.,1
757,Carl Elsener lived in Switzerland.,1
806,Yoshua Bengio invented the deep learning (artificial neural networks).,1
508,Yvonne Brill invented the U.S.,1
676,Evangelista Torricelli lived in Italy.,1
186,Michael Faraday invented the electric generator.,1
515,Clyde Tombaugh lived in U.S.,1
31,James Watt invented the steam engine improvements.,1
782,Nikola Tesla lived in Austrian Empire (modern-day Croatia)/U.S.,1
582,Robert Chesebrough invented the Vaseline.,1
364,Ernest Swinton invented the tank.,1
526,Rudolf Kálmán invented the U.S.,1
388,Carl Elsener invented the Swiss Army knife.,1
445,James West lived in U.S.,1
240,Edouard Benedictus invented the safety glass.,1
519,William Kelly invented the Bessemer process for steelmaking.,1
717,Nicolas Appert lived in France.,1
363,Gordon Gould invented the laser.,1
671,Ada Lovelace lived in U.K.,1
860,Yoshiro Nakamatsu lived in Japan.,1
511,Hedy Lamarr invented the frequency hopping spread spectrum.,1
599,László Bíró invented the ballpoint pen.,1
178,Albert Ghiorso invented the co-discovery of multiple elements.,1
95,Charles Francis Jenkins invented the motion picture projector.,1
136,Garrett Morgan invented the traffic signal.,1
102,Sir Sandford Fleming lived in Canada.,1
451,Sir Sandford Fleming invented the standard time zones.,1
106,Robert Moog lived in U.S.,1
755,Felix Hoffmann invented the aspirin synthesis.,1
829,Daniel Fahrenheit lived in Poland/Germany.,1
772,Nikola Tesla invented the alternating current (AC) electrical system.,1
751,Charles Cros invented the phonograph (independent inventor).,1
788,Samuel Colt lived in U.S.,1
454,Sir Frank Whittle lived in U.K.,1
609,James Dyson invented the bagless vacuum cleaner.,1
17,William Sturgeon lived in U.K.,1
152,Edwin H. Land invented the instant photography (Polaroid).,1
120,Earle Dickson lived in U.S.,1
24,Pierre Curie invented the piezoelectricity.,1
800,John Bardeen invented the transistor.,1
759,Robert Moog invented the Moog synthesizer.,1
68,Narinder Singh Kapany lived in India.,1
386,Alessandro Volta invented the electric battery.,1
523,Thomas Savery invented the early steam engine.,1
688,Charles Francis Richter invented the Richter scale.,1
260,Philo Farnsworth lived in U.S.,1
22,Gideon Sundback lived in Sweden/U.S.,1
502,Levi Strauss invented the blue jeans.,1
418,George Eastman lived in U.S.,1
242,Elisha Gray lived in U.S.,1
716,Ada Lovelace invented the programming language (theoretical).,1
10,George Devol invented the Unimate (first industrial robot).,1
187,Robert Adler lived in Austria/U.S.,1
84,Ignazio Porro lived in Italy.,1
470,George Antheil lived in U.S.,1
132,James Dyson lived in U.K.,1
579,Karl Benz lived in Germany.,1
246,Leon Theremin lived in Russia.,1
690,Luther Simjian invented the Bankograph (early ATM).,1
115,Willis Carrier lived in U.S.,1
56,Antoine Lavoisier invented the modern chemical nomenclature.,1
253,Arthur Fry invented the Post-it notes.,1
870,Evangelista Torricelli invented the barometer.,1
322,Mary Phelps Jacob invented the modern brassiere.,1
851,Benjamin Rubin lived in U.S.,1
139,Walter Hunt lived in U.S.,1
390,Whitcomb Judson invented the slide fastener (zipper precursor).,1
560,John Ericsson lived in Sweden.,1
339,Alexander Fleming lived in U.K.,1
218,Ernesto Blanco lived in U.S.,1
26,Benjamin Franklin invented the lightning rod.,1
797,Frederick Walton invented the linoleum.,1
213,Gordon Gould lived in U.S.,1
338,André-Jacques Garnerin lived in France.,1
180,Joseph Swan invented the carbon-filament lamp.,1
176,Heinrich Göbel invented the early incandescent light bulb.,1
672,Philo Taylor Farnsworth lived in U.S.,1
446,Sir Isaac Newton invented the reflecting telescope.,1
417,Candace Pert invented the discovery of opiate receptor.,1
312,Karl Benz invented the gasoline-powered automobile.,1
471,Charles Fritts invented the solar cell.,1
501,John Harrison lived in U.K.,1
520,Sir Frank Whittle invented the jet engine.,1
825,Nikolay Slavyanov lived in Russia.,1
547,Ruth Handler lived in U.S.,1
371,Carlos Glidden lived in U.S.,1
865,Auguste and Louis Lumière lived in France.,1
644,Galileo Galilei invented the improved telescope.,1
206,James Watt lived in Scotland.,1
236,Michael Faraday lived in U.K.,1
384,Willis Carrier invented the air conditioning.,1
291,Stephanie Kwolek lived in U.S.,1
810,Cai Lun invented the papermaking process.,1
807,R. Buckminster Fuller invented the geodesic dome.,1
463,John Gorrie invented the mechanical refrigeration (ice-making machine).,1
321,Florence Parpart lived in U.S.,1
315,Bartolomeo Cristofori lived in Italy.,1
288,Bette Nesmith Graham lived in U.S.,1
112,Fridtjof Nansen lived in Norway.,1
779,Henry Bessemer invented the Bessemer process for steelmaking.,1
469,Frank Julian Sprague lived in U.S.,1
47,Giovanni Caselli invented the pantelegraph (image transmission).,1
546,Alessandro Volta lived in Italy.,1
498,Marie Curie lived in Poland/France.,1
816,Igor Sikorsky invented the practical helicopter.,1
127,Hans von Ohain invented the jet engine.,1
820,Pierre Curie lived in France.,1
669,Alexander Fleming invented the penicillin discovery.,1
264,Marvin Camras lived in U.S.,1
399,Spencer Silver invented the adhesive (used in Post-it notes).,1
104,Grace Hopper invented the COBOL programming language.,1
573,Richard Gatling lived in U.S.,1
155,Henry Bessemer lived in U.K.,1
344,John Boyd Dunlop invented the refrigeration (absorption process).,0
721,Wallace Carothers lived in Denmark.,0
257,George de Mestral invented the snowmobile.,0
801,Yvonne Brill invented the electric wheelchair.,0
781,Carl Wilhelm Siemens lived in U.S.,0
625,Joseph Henry lived in U.K.,0
347,Nikolay Slavyanov invented the U.S.,0
15,Charles Francis Richter invented the liquefied gas refrigeration.,0
228,George Devol invented the compression refrigeration.,0
732,Karl Benz lived in U.S.,0
705,Frederick McKinley Jones invented the karaoke machine.,0
73,John Bardeen invented the telegraph printer.,0
310,Hans Lippershey invented the co-discovery of multiple elements.,0
144,Gottlieb Daimler invented the airship (non-rigid).,0
45,John Callcott Horsley lived in Germany.,0
362,Jack Kilby invented the aerodynamics (theoretical).,0
81,Hans von Ohain invented the deep learning (artificial neural networks).,0
404,Joseph Swan invented the alternating current (AC) electrical system.,0
118,Samuel Colt invented the slide fastener (zipper precursor).,0
423,Herbert Saffir invented the electric generator.,0
839,Edmund Cartwright lived in U.S.,0
111,Hans Lippershey lived in U.S.,0
342,Willem Einthoven lived in France.,0
478,Joseph Glidden lived in Germany.,0
85,Robert Moog invented the frequency hopping spread spectrum.,0
842,Mary Phelps Jacob invented the practical helicopter.,0
27,John Wesley Hyatt invented the vacuum tube diode.,0
369,Cai Lun invented the piano.,0
398,Maria Telkes lived in Hungary.,0
504,John Ericsson lived in U.S.,0
217,Bartolomeo Cristofori invented the geodesic dome.,0
250,László Bíró lived in U.S.,0
686,Charles Francis Jenkins lived in Germany.,0
32,Edwin Link lived in U.K.,0
730,Jacob Perkins invented the wrinkle-resistant fabric.,0
101,Carl Sontheimer invented the Argand lamp.,0
198,Ami Argand invented the electric streetcar system.,0
578,Ferdinand von Zeppelin invented the piezoelectricity.,0
603,Ada Lovelace lived in U.S.,0
403,Rudolf Kálmán invented the penicillin discovery.,0
818,Godfrey Hounsfield invented the electromagnetism discovery.,0
348,Richard Trevithick lived in U.S.,0
731,Philo Taylor Farnsworth invented the mechanical refrigeration (ice-making machine).,0
494,Frank Julian Sprague invented the electric traffic light.,0
380,Alec Jeffreys lived in France.,0
255,Charles Wheatstone invented the phonograph (independent inventor).,0
171,Arthur Pitney invented the friction match.,0
432,Wilhelm Conrad Röntgen lived in U.S.,0
43,Rudolf Diesel lived in U.S.,0
565,Sir Charles Parsons invented the lightning rod.,0
93,Paul Gottlieb Nipkow invented the electromagnetism discovery.,0
777,James Dyson lived in Canada.,0
153,Sergey Brin and Larry Page lived in U.K.,0
192,Giovanni Caselli invented the integrated circuit.,0
170,Godfrey Hounsfield lived in Denmark.,0
845,Semyon Kirlian lived in U.K.,0
239,László Bíró invented the safety elevator.,0
308,Willis Carrier lived in Italy.,0
674,Gideon Sundback invented the electron scanning tube (Image dissector).,0
412,Archimedes lived in U.S.,0
513,Fritz Pfleumer lived in Canada/U.S.,0
792,Biruté Galdikas invented the pasteurization.,0
319,Samuel Morse invented the electroencephalography (EEG).,0
161,Edmund Cartwright invented the Morse code.,0
116,John Logie Baird invented the karaoke machine.,0
786,Sir Humphry Davy lived in U.S.,0
211,James Starley invented the zipper.,0
433,Galileo Galilei invented the assembly line production.,0
143,Tim Berners-Lee invented the movable type printing press.,0
512,Candace Pert invented the electric wheelchair.,0
639,R. Buckminster Fuller invented the mechanical television.,0
375,John Logie Baird lived in Japan.,0
389,Daisuke Inoue invented the first home video game console.,0
530,David Edward Hughes invented the piano roll (used in player pianos).,0
665,Jean-Bernard-Léon Foucault lived in U.S.,0
466,Joseph Glidden invented the jet engine.,0
443,Elihu Thomson invented the traffic signal.,0
416,Hedy Lamarr invented the Morse code.,0
497,John Kay lived in U.S.,0
194,David Schwarz invented the modern chemical nomenclature.,0
618,Ralph H. Baer invented the canning process.,0
449,Charles Townes lived in Russia.,0
5,William Congreve lived in Canada.,0
89,Benjamin Rubin invented the telegraph printer.,0
762,Charles Fritts invented the refrigeration unit for trucks.,0
323,Henri Giffard lived in U.S.,0
426,John Boyd Dunlop lived in France.,0
92,George Eastman lived in U.K.,0
16,Alexander Graham Bell invented the Audi automobile.,0
785,Joseph Bramah invented the vacuum tube diode.,0
227,Clarence Birdseye invented the wireless remote control.,0
632,Thomas Savery invented the bagless vacuum cleaner.,0
789,John von Neumann invented the Google search engine.,0
753,Semyon Kirlian invented the friction match.,0
440,Robert Noyce invented the Unimate (first industrial robot).,0
633,John Harrison invented the steel ribbed umbrella.,0
237,Lloyd Groff Copeman lived in Germany.,0
616,Gustaf Dalén invented the thermite process.,0
484,Sir Sandford Fleming invented the integrated circuit.,0
576,Marvin Camras invented the airship (non-rigid).,0
621,Lloyd Groff Copeman invented the electromagnetic waves discovery.,0
304,Charles Cros lived in U.S.,0
207,Gordon Gould invented the snowmobile.,0
581,Édouard-Léon Scott de Martinville invented the hovercraft.,0
769,George de Mestral lived in Canada.,0
743,Henry Ford invented the barbed wire.,0
723,Robert Chesebrough invented the roll film.,0
703,Charles Babbage lived in Hungary/U.S.,0
461,Frederick McKinley Jones lived in Japan.,0
168,John Gorrie invented the piano.,0
670,Christian Huygens lived in Scotland.,0
637,John Atanasoff invented the revolver.,0
345,Archimedes invented the electric washing machine.,0
465,Eli Whitney invented the electric wheelchair.,0
529,Joseph Engelberger invented the discovery of Pluto.,0
866,Thomas Edison lived in U.K.,0
177,Marie Curie invented the U.S.,0
230,Luther George Simjian lived in Norway.,0
133,Ralph Benjamin invented the Porro prism.,0
356,Thomas Wedgwood lived in Finland.,0
396,Michael Faraday invented the friction match.,0
623,Wallace Carothers invented the magnetic wire recorder.,0
94,Igor Sikorsky invented the laser.,0
697,Arthur Pitney lived in U.K.,0
140,Samuel Morse lived in Germany.,0
313,Charles Strite invented the various inventions and concepts (theoretical).,0
59,Joseph Marie Jacquard lived in Netherlands.,0
856,Konrad Zuse invented the discovery of radium and polonium.,0
373,Luther George Simjian invented the modern polar exploration.,0
770,Antoine Lavoisier invented the blood types.,0
850,Luther Simjian lived in U.S.,0
861,Alessandro Volta invented the assembly line production.,0
271,Richard Gatling lived in U.K.,0
580,Guglielmo Marconi invented the Christmas card.,0
29,Louis Pasteur invented the vaccine jet injector.,0
645,Antoine Lavoisier lived in Austria.,0
413,Nils Bohlin invented the jet engine.,0
14,Frederick Walton invented the Liquid Paper.,0
710,John von Neumann lived in U.S.,0
305,R. Buckminster Fuller lived in Scotland.,0
175,Nikolay Slavyanov lived in Stephanie.,0
80,Fridtjof Nansen lived in U.K.,0
340,Hans Goldschmidt lived in Netherlands.,0
527,Alexander Graham Bell lived in Germany.,0
496,Yoshua Bengio lived in U.S.,0
263,Florence Parpart lived in U.K.,0
86,Paul Gottlieb Nipkow lived in Denmark.,0
203,Cai Lun lived in Italy.,0
718,Whitcomb Judson invented the safety pin.,0
485,Karl Landsteiner invented the waterproof fabric.,0
575,Bette Nesmith Graham invented the agricultural innovations.,0
13,Carlos Glidden invented the ATM.,0
719,Hans Berger invented the flash freezing.,0
817,Joseph Marie Jacquard invented the electrocardiograph (ECG).,0
438,Robert Adler lived in U.K.,0
275,Thomas Wedgwood invented the Linux operating system.,0
147,Walter Hunt invented the traffic signal.,0
235,John Gorrie lived in Italy.,0
491,Narinder Singh Kapany invented the programming language (theoretical).,0
737,Joseph-Armand Bombardier invented the orangutan conservation.,0
54,Herbert Saffir lived in U.K.,0
298,August Horch invented the electron cooling.,0
849,Mary Phelps Jacob lived in Ukraine/U.S.,0
711,Christopher Cockerell lived in France.,0
3,Emile Berliner lived in Russia.,0
202,Daniel Fahrenheit invented the piano roll (used in player pianos).,0
441,John Walker lived in U.S.,0
318,Alexander Fleming lived in France.,0
774,Garrett Morgan invented the adhesive (used in Post-it notes).,0
778,Jack Kilby lived in U.K.,0
551,Evangelista Torricelli invented the wireless remote control.,0
821,Shinya Yamanaka invented the Siemens regenerative furnace.,0
337,Ernest Swinton lived in U.S.,0
162,James West invented the wrinkle-resistant fabric.,0
107,Nikola Tesla invented the electromagnetic waves discovery.,0
768,Elisha Gray lived in Austria/U.S.,0
252,James Murray Spangler lived in U.K.,0
557,Charles Strite lived in Italy.,0
871,Chester Carlson invented the programming language (theoretical).,0
727,Stephanie Kwolek invented the co-discovery of HIV.,0
680,Yoshua Bengio invented the mechanical refrigeration (ice-making machine).,0
685,Leon Theremin invented the Geiger counter.,0
333,Benjamin Holt invented the Barbie doll.,0
358,Nils Bohlin lived in Germany.,0
509,Charles Tellier lived in U.K.,0
229,Robert Moog lived in Austria/U.S.,0
822,James Hargreaves lived in Sweden.,0
11,Henri Giffard invented the wrinkle-resistant fabric.,0
612,Biruté Galdikas lived in France.,0
190,James Watt lived in U.S.,0
524,Felix Hoffmann lived in U.S.,0
488,Joseph Henry invented the linoleum.,0
209,Percy Spencer invented the industrial robot.,0
409,Thomas Tompion invented the electric generator.,0
852,Ferdinand Carré invented the Post-it notes.,0
6,Fridtjof Nansen invented the early steam engine.,0
868,Albert Ghiorso invented the Turing machine (theoretical).,0
561,Elisha Otis lived in U.K.,0
598,Gustaf Dalén lived in Germany.,0
649,Reginald Fessenden lived in U.K.,0
394,André-Jacques Garnerin invented the electrocardiograph (ECG).,0
747,Jean-Bernard-Léon Foucault invented the piano roll (used in player pianos).,0
452,Frederick G. Creed invented the AGA lighthouse.,0
222,Gideon Sundback lived in U.S.,0
267,Charles Francis Richter lived in France.,0
873,George Antheil invented the Band-Aid.,0
793,Edwin H. Land invented the three-point seatbelt.,0
215,Leonardo da Vinci lived in Poland/France.,0
12,Marvin Camras lived in France.,0
