,statement,label
532,Calcium is essential for bone formation and muscle function.,1
796,Protactinium is in the Actinide group.,1
680,Rhodium is in the Transition metal group.,1
70,Holmium has the atomic number of 67.,1
867,Titanium is in the Transition metal group.,1
516,Xenon is in the Nonmetal group.,0
758,Promethium appears in its standard state as Solid.,1
318,Argon has the atomic number of 12.,0
0,Boron is used in the production of glass and ceramics.,1
559,Europium is in the Transition metal group.,0
837,Dysprosium has the symbol Dy.,1
223,Platinum appears in its standard state as Solid.,1
641,Neptunium is a radioactive actinide mainly used in research and plutonium production.,1
541,Manganese has the atomic number of 1.,0
588,Chromium has the symbol Cr.,1
358,"Platinum is a highly valued, non-reactive metal used in jewelry, catalytic converters, and fuel cells.",1
676,Iodine is in the Transition metal group.,0
167,Fluorine is used in solder and pewter.,0
881,Technetium appears in its standard state as Solid.,1
594,Astatine has the symbol At.,1
528,Platinum is in the Halogen group.,0
352,Samarium has the atomic number of 28.,0
593,Silicon appears in its standard state as Solid.,1
218,Sulfur is the second most abundant element in Earth's crust and is used in computer chips.,0
255,Potassium has the symbol K.,1
868,Manganese has the atomic number of 25.,1
546,Fluorine has the atomic number of 29.,0
713,Hafnium has the symbol Nd.,0
235,Yttrium is in the Post-transition metal group.,0
851,Radon has the symbol Rn.,1
326,Polonium has the atomic number of 25.,0
765,Nickel has the symbol Rb.,0
841,Ruthenium has the atomic number of 44.,1
126,"Lead is a heavy, toxic metal used in batteries, radiation shielding, and some solders.",1
176,Zinc has the atomic number of 49.,0
200,Tantalum is in the Transition metal group.,1
664,Hydrogen has the symbol H.,1
843,Iron is in the Lanthanide group.,0
707,Gadolinium has the symbol Hg.,0
122,Nickel has the atomic number of 8.,0
527,Helium is used to fill balloons and airships because it is lighter than air.,1
612,Molybdenum has the atomic number of 43.,0
638,Beryllium has the atomic number of 36.,0
315,Molybdenum is used in high-temperature applications and steel alloys.,1
33,Gallium has the atomic number of 10.,0
52,Helium is in the Noble gas group.,1
1,"Praseodymium is used in coins, batteries, and corrosion-resistant alloys.",0
519,Rhodium has the atomic number of 45.,1
42,Rubidium has the atomic number of 37.,1
405,"Nickel is used in coins, batteries, and corrosion-resistant alloys.",1
533,Zinc is an essential trace element in living organisms and is used to strengthen steel.,0
703,Iron is in the Transition metal group.,1
140,Krypton has the atomic number of 86.,0
679,Neptunium is in the Transition metal group.,0
750,Technetium has the symbol Ag.,0
163,Neodymium is a radioactive actinide mainly used in research and plutonium production.,0
11,Scandium has the atomic number of 21.,1
23,Dysprosium is a noble gas used in lighting and medical imaging.,0
560,Holmium appears in its standard state as Gas.,0
436,Actinium is a radioactive element used as a neutron source and in some cancer treatments.,1
540,Oxygen appears in its standard state as Solid.,0
236,Lead is in the Post-transition metal group.,1
656,Holmium is necessary for aerobic respiration in living organisms.,0
197,"Tungsten is a lightweight, corrosion-resistant metal used in many applications.",0
916,Tin has the atomic number of 75.,0
755,Sulfur has the atomic number of 16.,1
603,Lanthanum is used in camera lenses and some batteries.,1
838,Hydrogen is used in catalytic converters and self-cleaning ovens.,0
302,Neon has the symbol Lu.,0
706,Niobium is in the Transition metal group.,1
547,Uranium is in the Actinide group.,1
861,Tin appears in its standard state as Liquid.,0
320,Neon has the atomic number of 63.,0
495,Palladium has the atomic number of 45.,0
474,Actinium appears in its standard state as Solid.,1
809,Cobalt is in the Post-transition metal group.,0
24,Silver is used in catalytic converters and some electronic components.,0
832,Arsenic is used in lasers and magnetic refrigeration.,0
247,Mercury is in the Actinide group.,0
208,Boron appears in its standard state as Solid.,1
862,Iodine is a noble gas used as an inert atmosphere in welding and other applications.,0
347,Lutetium is used in PET scans and some cancer treatments.,1
797,Cobalt is used to galvanize steel and is an essential trace element in living organisms.,0
356,Bismuth has the symbol Bi.,1
728,Iron appears in its standard state as Gas.,0
866,Radium has the symbol Sm.,0
763,Carbon is in the Nonmetal group.,1
523,Rhodium has the symbol Sn.,0
795,Germanium appears in its standard state as Gas.,0
504,Vanadium has the atomic number of 66.,0
497,Chromium has the atomic number of 24.,1
368,Nickel is in the Transition metal group.,1
121,Promethium has the atomic number of 60.,0
40,Astatine has the atomic number of 85.,1
233,Erbium has the symbol Pr.,0
45,Rubidium is in the Lanthanide group.,0
84,Chlorine is used as a disinfectant and in the production of PVC.,1
534,Europium is used in phosphors for lighting and displays.,1
662,Hafnium has the atomic number of 72.,1
599,Cadmium is in the Transition metal group.,1
174,Beryllium is in the Actinide group.,0
78,Sodium is a highly radioactive alkali metal with no practical applications due to its instability.,0
884,Calcium is a toxic element used in pesticides and some alloys.,0
50,Cerium has the atomic number of 58.,1
177,Copper is in the Post-transition metal group.,0
440,Silver has the atomic number of 47.,1
580,Rhodium has the atomic number of 48.,0
6,Thallium appears in its standard state as Liquid.,0
465,Chromium has the symbol Ru.,0
774,Mercury appears in its standard state as Liquid.,1
279,Krypton has the atomic number of 36.,1
787,Thallium has the atomic number of 82.,0
836,Neon is used in neon signs and produces a distinct reddish-orange glow.,1
892,Rubidium has the atomic number of 86.,0
845,Technetium has the atomic number of 43.,1
511,Scandium is in the Transition metal group.,1
220,Xenon is in the Noble gas group.,1
798,Radon is essential for bone formation and muscle function.,0
246,Lanthanum appears in its standard state as Liquid.,0
732,Bismuth is in the Alkali metal group.,0
698,Vanadium is in the Lanthanide group.,0
466,Cobalt has the symbol Co.,1
34,Tantalum appears in its standard state as Gas.,0
209,Fluorine appears in its standard state as Gas.,1
355,Magnesium is in the Alkaline earth metal group.,1
132,Francium appears in its standard state as Gas.,0
492,Zinc is in the Transition metal group.,1
88,Lead has the atomic number of 82.,1
914,Xenon appears in its standard state as Gas.,1
776,Krypton has the symbol Nb.,0
675,Lanthanum has the symbol La.,1
434,Gallium has a low melting point and is used in semiconductors and LEDs.,1
75,Lanthanum appears in its standard state as Solid.,1
760,Thorium appears in its standard state as Liquid.,0
451,Indium appears in its standard state as Gas.,0
414,Lutetium appears in its standard state as Solid.,1
657,Lead is a highly radioactive element used in some heaters for space probes.,0
888,Titanium is in the Nonmetal group.,0
199,Rubidium is used in phosphors for CRT displays and LEDs.,0
708,Selenium is an essential trace element used in photovoltaic cells and glass production.,1
159,Hafnium appears in its standard state as Gas.,0
488,Barium has the atomic number of 56.,1
278,Mercury is a liquid at room temperature and used in thermometers and some electrical switches.,1
913,Polonium is in the Actinide group.,0
229,Actinium appears in its standard state as Gas.,0
689,Silicon has the symbol Rn.,0
467,Cadmium appears in its standard state as Gas.,0
756,Thulium appears in its standard state as Gas.,0
510,Europium is in the Lanthanide group.,1
371,Francium is in the Halogen group.,0
487,Ytterbium has the symbol Yb.,1
193,Copper is in the Transition metal group.,1
812,Molybdenum is in the Post-transition metal group.,0
257,Ruthenium appears in its standard state as Liquid.,0
224,Beryllium has the symbol As.,0
745,Francium is in the Alkali metal group.,1
582,Nitrogen is in the Nonmetal group.,1
306,Praseodymium has the atomic number of 59.,1
146,Uranium is in the Transition metal group.,0
227,Palladium has the atomic number of 46.,1
343,Cadmium has the atomic number of 48.,1
507,Molybdenum appears in its standard state as Solid.,1
141,Potassium is essential for muscle and nerve function and is highly reactive with water.,1
101,Uranium has the symbol Re.,0
506,Ruthenium has the symbol Ru.,1
131,Sodium has the symbol Lu.,0
775,Zinc is in the Nonmetal group.,0
463,Nitrogen is used in thermoelectric devices and solar cells.,0
563,Neodymium is used in powerful permanent magnets and lasers.,1
579,Polonium appears in its standard state as Solid.,1
727,Uranium forms more compounds than any other element.,0
221,Actinium has the symbol Ac.,1
480,Astatine is in the Actinide group.,0
772,Antimony is used in camera lenses and some batteries.,0
514,Rubidium is a highly reactive alkali metal used in atomic clocks.,1
210,Chlorine has the symbol Cr.,0
399,Oxygen has the symbol O.,1
557,Bismuth is in the Post-transition metal group.,1
4,Zirconium has the atomic number of 6.,0
552,Ruthenium appears in its standard state as Solid.,1
342,Fluorine has the atomic number of 9.,1
928,"Samarium is used in magnets, lasers, and neutron capture.",1
548,Scandium is a rare earth metal used in high-performance alloys.,1
231,Magnesium appears in its standard state as Solid.,1
610,Tungsten is in the Actinide group.,0
705,Samarium has the atomic number of 62.,1
522,Platinum has the atomic number of 90.,0
360,Calcium is in the Nonmetal group.,0
80,Rubidium has the symbol Rb.,1
513,Iodine has the symbol I.,1
58,Platinum is a radioactive noble gas produced during the decay of uranium and thorium; it can accumulate in buildings and is a health hazard.,0
734,Lutetium is in the Lanthanide group.,1
421,Polonium has the atomic number of 84.,1
205,Germanium is in the Metalloid group.,1
927,Scandium has the symbol Sc.,1
624,Zinc has the atomic number of 30.,1
699,Gallium has the atomic number of 31.,1
134,Niobium has the atomic number of 41.,1
846,Aluminum is in the Lanthanide group.,0
185,Beryllium is in the Alkaline earth metal group.,1
383,Iodine is in the Halogen group.,1
2,"Cobalt is used in strong, permanent magnets and as a blue pigment.",1
800,Thulium has the symbol Ne.,0
328,Gold has the atomic number of 79.,1
569,Promethium appears in its standard state as Gas.,0
715,Arsenic has the symbol As.,1
789,Titanium has the symbol B.,0
751,Lutetium has the atomic number of 71.,1
117,Palladium has the symbol Nd.,0
36,Scandium appears in its standard state as Solid.,1
663,Praseodymium has the atomic number of 36.,0
481,Rhenium appears in its standard state as Solid.,1
263,Technetium is in the Transition metal group.,1
674,Barium has the symbol Ba.,1
499,Erbium appears in its standard state as Gas.,0
317,Krypton is a noble gas used in some lighting applications and window insulation.,1
93,Strontium is used in neon signs and produces a distinct reddish-orange glow.,0
633,Hafnium appears in its standard state as Solid.,1
337,Thulium has the symbol Tm.,1
816,Silver is a highly conductive and reflective metal used in jewelry and electronics.,1
129,Cerium is in the Noble gas group.,0
192,Radium appears in its standard state as Gas.,0
827,Tin is in the Post-transition metal group.,1
777,Boron has the symbol Pm.,0
871,Protactinium is in the Post-transition metal group.,0
723,Barium appears in its standard state as Gas.,0
921,Vanadium has the symbol Ba.,0
666,Molybdenum appears in its standard state as Gas.,0
539,Nickel has the atomic number of 28.,1
607,Tellurium has the symbol Te.,1
536,Antimony is in the Noble gas group.,0
581,Sulfur is in the Alkaline earth metal group.,0
102,Erbium has the atomic number of 68.,1
113,Europium has the symbol Eu.,1
47,Carbon has the atomic number of 6.,1
304,Ruthenium has the symbol Au.,0
855,Phosphorus has the atomic number of 37.,0
136,Selenium has the symbol Se.,1
635,Actinium is in the Actinide group.,1
817,Krypton is in the Alkaline earth metal group.,0
847,Protactinium is essential for bone formation and muscle function.,0
232,Manganese is a rare earth metal used in high-performance alloys.,0
620,Erbium reacts violently with water and is essential for nerve function.,0
450,Manganese has the symbol Gd.,0
747,Antimony appears in its standard state as Solid.,1
377,Niobium has the symbol Nb.,1
76,Gallium appears in its standard state as Solid.,1
83,Holmium is in the Lanthanide group.,1
22,Tantalum has the atomic number of 79.,0
266,Cadmium is in the Lanthanide group.,0
142,Potassium has the symbol Al.,0
512,Magnesium has the symbol Br.,0
357,Vanadium appears in its standard state as Solid.,1
731,Yttrium has the atomic number of 39.,1
12,Hydrogen is in the Actinide group.,0
388,Lead appears in its standard state as Solid.,1
637,Boron appears in its standard state as Gas.,0
766,Tungsten has the highest melting point of all elements and is used in lightbulb filaments.,1
285,Iron has the atomic number of 12.,0
10,Sulfur is used in the production of sulfuric acid and rubber vulcanization.,1
290,Xenon has the symbol F.,0
850,"Samarium is used in lasers, atomic clocks, and some solar cells.",0
375,Cesium is in the Transition metal group.,0
225,Ruthenium is in the Transition metal group.,1
269,Zirconium has the symbol Zr.,1
829,Chromium is in the Transition metal group.,1
110,Uranium has the atomic number of 92.,1
605,Yttrium has the symbol Y.,1
120,Iridium appears in its standard state as Solid.,1
336,Thorium is an essential trace element in living organisms and is used to strengthen steel.,0
712,Sulfur has the atomic number of 59.,0
597,Magnesium is a lightweight metal used in alloys and flares.,1
124,Argon is in the Lanthanide group.,0
690,Thulium is used in lasers and medical imaging.,1
170,Promethium is a radioactive element used in luminous paints.,1
781,Bismuth has the atomic number of 83.,1
537,Manganese appears in its standard state as Gas.,0
412,Cadmium is used in magnets and lasers.,0
105,Rhenium has the atomic number of 60.,0
74,Phosphorus appears in its standard state as Solid.,1
396,Niobium is a radioactive element with no significant practical applications.,0
882,Tin has the symbol Sn.,1
864,Sulfur has the symbol Cs.,0
538,Hafnium is in the Alkaline earth metal group.,0
334,Lithium has the atomic number of 3.,1
373,Iridium is in the Transition metal group.,1
9,Palladium appears in its standard state as Solid.,1
64,Krypton has the symbol Kr.,1
164,Neon has the symbol Ne.,1
253,Potassium appears in its standard state as Solid.,1
821,Neptunium is in the Actinide group.,1
521,Zirconium has the symbol Eu.,0
608,Helium has the atomic number of 62.,0
544,Nitrogen has the atomic number of 7.,1
844,Gadolinium appears in its standard state as Gas.,0
535,Helium is in the Transition metal group.,0
655,Promethium is in the Halogen group.,0
542,Copper appears in its standard state as Gas.,0
919,Hydrogen has the atomic number of 24.,0
402,Lithium is in the Alkali metal group.,1
615,Fluorine has the symbol F.,1
65,Terbium appears in its standard state as Solid.,1
156,Technetium is the lightest radioactive element and is used in medical imaging.,1
685,Fluorine is the most reactive and electronegative element.,1
345,Bromine has the symbol Mo.,0
297,Zirconium is in the Metalloid group.,0
918,"Bismuth is a low-toxicity heavy metal used in cosmetics, some alloys, and pharmaceuticals.",1
801,Hydrogen appears in its standard state as Gas.,1
331,Cerium is used in catalytic converters and self-cleaning ovens.,1
686,Scandium is in the Noble gas group.,0
385,Lithium has the symbol Sb.,0
469,Tungsten has the symbol W.,1
682,Rhenium is in the Transition metal group.,1
618,Vanadium has the symbol V.,1
77,Europium appears in its standard state as Gas.,0
432,Boron is in the Post-transition metal group.,0
458,Indium is in the Post-transition metal group.,1
464,Tellurium appears in its standard state as Solid.,1
18,Thallium has the symbol Tl.,1
379,"Beryllium is a lightweight, strong metal used in aerospace and other applications.",1
31,"Rhenium is used in coins, batteries, and corrosion-resistant alloys.",0
401,Radium is a radioactive alkaline earth metal used in luminous paints and some cancer treatments.,1
